id	region	mode	final	fast	suite	equiv	deep	directed
429	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
430	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
431	engine_ctrl	inv	killed_fast	killed	-	-	-	-
432	engine_ctrl	const1	killed_full	survived	killed	-	-	-
433	engine_ctrl	const1	killed_fast	killed	-	-	-	-
434	engine_ctrl	const1	killed_full	survived	killed	-	-	-
435	engine_ctrl	inv	killed_fast	killed	-	-	-	-
436	engine_ctrl	const0	killed_full	survived	killed	-	-	-
437	engine_ctrl	inv	killed_full	survived	killed	-	-	-
438	engine_ctrl	inv	killed_full	survived	killed	-	-	-
439	engine_ctrl	const0	killed_full	survived	killed	-	-	-
440	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
441	engine_ctrl	const1	killed_fast	killed	-	-	-	-
442	engine_ctrl	inv	killed_fast	killed	-	-	-	-
443	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
444	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
445	engine_ctrl	const0	killed_fast	killed	-	-	-	-
