id	region	mode	port	equiv	rip	deep	directed	diverged_state	outputs
437	engine_ctrl	const0	Y[10]	not_proven	internal_only	killed	survived	blocked_cycles_2:7521	
438	engine_ctrl	cnot1	Y[11]	not_proven	not_activated	survived	survived		
439	engine_ctrl	const0	A[0]	equivalent	not_activated	survived	survived		
442	engine_ctrl	cnot1	Y[6]	not_proven	not_activated	survived	survived		
446	engine_ctrl	cnot1	A[21]	not_proven	not_activated	survived	survived		
447	engine_ctrl	cnot1	A[22]	not_proven	not_activated	survived	survived		
449	engine_ctrl	const0	B[24]	not_proven	not_activated	survived	survived		
450	engine_ctrl	cnot1	A[20]	not_proven	not_activated	survived	survived		
451	engine_ctrl	cnot1	Y[12]	not_proven	not_activated	survived	killed		
453	engine_ctrl	cnot1	Y[20]	not_proven	not_activated	survived	survived		
457	engine_ctrl	const0	A[22]	not_proven	internal_only	survived	survived	wait_timer_2:5	
458	engine_ctrl	cnot1	B[12]	not_proven	not_activated	survived	survived		
463	engine_ctrl	cnot1	B[0]	not_proven	not_activated	survived	survived		
466	engine_ctrl	inv	Y[13]	not_proven	internal_only	survived	survived	blocked_cycles_0:38980	
467	engine_ctrl	const0	B[28]	not_proven	not_activated	survived	survived		
469	engine_ctrl	cnot1	Y[18]	not_proven	not_activated	survived	survived		
471	engine_ctrl	cnot0	Y[1]	not_proven	internal_only	killed	killed	blocked_cycles_1:65551	
475	engine_ctrl	cnot1	A[2]	not_proven	not_activated	survived	survived		
478	engine_ctrl	cnot0	A[5]	not_proven	internal_only	survived	killed	blocked_cycles_2:67341	
481	engine_ctrl	cnot1	A[13]	not_proven	not_activated	survived	survived		
483	engine_ctrl	cnot1	B[13]	not_proven	not_activated	survived	survived		
484	engine_ctrl	cnot1	A[12]	not_proven	not_activated	survived	survived		
486	engine_ctrl	cnot1	Y[1]	not_proven	not_activated	survived	survived		
488	engine_ctrl	const0	S[0]	not_proven	not_activated	survived	survived		
489	engine_ctrl	const1	A[5]	not_proven	internal_only	killed	survived	blocked_cycles_0:14692	
491	engine_ctrl	const1	B[13]	equivalent	not_activated	survived	survived		
494	engine_ctrl	cnot1	Y[0]	equivalent	not_activated	survived	survived		
495	engine_ctrl	cnot1	B[0]	not_proven	not_activated	survived	survived		
496	engine_ctrl	cnot1	A[19]	not_proven	not_activated	survived	survived		
506	engine_ctrl	const0	Y[11]	not_proven	not_activated	survived	survived		
508	engine_ctrl	const0	B[11]	not_proven	not_activated	survived	survived		
512	engine_ctrl	inv	A[3]	not_proven	internal_only	survived	survived	blocked_cycles_2:39013	
513	engine_ctrl	cnot1	B[1]	equivalent	not_activated	survived	survived		
514	engine_ctrl	cnot1	Y[7]	not_proven	not_activated	survived	killed		
515	engine_ctrl	const0	A[18]	equivalent	not_activated	survived	survived		
516	engine_ctrl	const0	A[21]	not_proven	not_activated	survived	survived		
522	engine_ctrl	const1	Y[0]	equivalent	not_activated	survived	survived		
523	engine_ctrl	cnot1	Y[16]	not_proven	not_activated	survived	survived		
525	engine_ctrl	const0	Y[17]	not_proven	not_activated	survived	survived		
528	engine_ctrl	const0	A[6]	not_proven	not_activated	survived	survived		
530	engine_ctrl	inv	Y[12]	not_proven	internal_only	killed	killed	blocked_cycles_2:67341	
531	engine_ctrl	cnot0	B[16]	not_proven	internal_only	survived	survived	wait_limit_2:22812	
532	engine_ctrl	cnot1	A[22]	not_proven	not_activated	survived	survived		
537	engine_ctrl	const0	Y[12]	not_proven	internal_only	survived	survived	pc_0:5	
538	engine_ctrl	const0	Y[16]	not_proven	not_activated	survived	survived		
539	engine_ctrl	cnot1	A[8]	not_proven	not_activated	survived	survived		
543	engine_ctrl	const0	A[21]	not_proven	not_activated	survived	survived		
552	host	cnot1	A[2]	equivalent	not_activated	survived	survived		
554	host	const1	A[0]	not_proven	not_activated	survived	survived		
558	host	cnot1	B[0]	equivalent	not_activated	survived	survived		
560	host	const0	B[1]	equivalent	not_activated	survived	survived		
561	host	cnot1	A[0]	equivalent	not_activated	survived	survived		
565	host	inv	B[0]	not_proven	internal_only	survived	survived	image_loaded_2:113642	
570	host	inv	B[8]	not_proven	internal_only	survived	survived	image_length_0:19882	
580	host	cnot1	B[1]	not_proven	not_activated	survived	survived		
598	host	const0	A[11]	equivalent	internal_only	survived	survived	image_length_2:5	
600	host	cnot1	A[0]	equivalent	not_activated	survived	survived		
608	host	const0	A[16]	not_proven	not_activated	survived	survived		
614	host	const0	B[58]	not_proven	not_activated	survived	survived		
616	host	const1	A[3]	equivalent	not_activated	survived	survived		
618	host	inv	B[10]	not_proven	internal_only	survived	survived	image_loaded_0:57453	
621	host	const1	Y[0]	not_proven	not_activated	survived	survived		
622	host	cnot1	S[2]	equivalent	not_activated	survived	survived		
625	host	const0	B[0]	equivalent	not_activated	survived	survived		
642	host	cnot1	A[10]	not_proven	not_activated	survived	survived		
645	host	cnot1	Y[12]	equivalent	not_activated	survived	survived		
663	host	const0	Y[9]	not_proven	not_activated	survived	survived		
665	host	const0	A[14]	equivalent	not_activated	survived	survived		
674	host	inv	B[10]	not_proven	internal_only	survived	survived	image_length_1:86527	
675	host	const0	B[10]	equivalent	not_activated	survived	survived		
682	host	cnot1	Y[0]	equivalent	not_activated	survived	survived		
696	host	const0	A[5]	not_proven	not_activated	survived	killed		
697	host	cnot1	A[13]	equivalent	not_activated	survived	survived		
704	host	cnot1	Y[7]	equivalent	not_activated	survived	survived		
705	host	cnot1	D[13]	not_proven	internal_only	killed	survived	image_length_1:17909	
711	host	const0	Y[9]	equivalent	internal_only	survived	survived	image_length_1:5	
717	host	inv	A[0]	not_proven	reached_pins	survived	survived	_4240:127411	out:read_nibble:89949
722	host	cnot1	A[2]	equivalent	not_activated	survived	survived		
727	host	cnot1	B[2]	not_proven	internal_only	killed	survived	open_drain_1:2730,host_fault:164	
729	host	const0	A[6]	not_proven	not_activated	survived	survived		
736	host	cnot1	A[7]	equivalent	not_activated	survived	survived		
747	host	cnot1	A[0]	equivalent	not_activated	survived	survived		
749	host	cnot1	A[1]	equivalent	not_activated	survived	survived		
752	host	const0	Q[14]	equivalent	internal_only	survived	survived	image_length_3:5	
780	host	const1	B[0]	equivalent	not_activated	survived	survived		
818	host	const0	A[3]	not_proven	not_activated	survived	survived		
825	host	const1	B[0]	not_proven	not_activated	survived	survived		
