id	region	mode	final	fast	full	equiv	deep	directed
376	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
377	engine_ctrl	inv	killed_fast	killed	-	-	-	-
378	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
379	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
380	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
381	engine_ctrl	const1	killed_fast	killed	-	-	-	-
382	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
383	engine_ctrl	const1	killed_fast	killed	-	-	-	-
384	engine_ctrl	inv	killed_fast	killed	-	-	-	-
385	engine_ctrl	const1	killed_fast	killed	-	-	-	-
386	engine_ctrl	inv	killed_full	survived	killed	-	-	-
387	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
388	engine_ctrl	cnot0	survived	survived	survived	not_proven	killed	survived
389	engine_ctrl	const0	killed_full	survived	killed	-	-	-
390	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
391	engine_ctrl	cnot1	survived	survived	survived	equivalent	survived	survived
392	engine_ctrl	inv	killed_fast	killed	-	-	-	-
393	engine_ctrl	const1	survived	survived	survived	not_proven	killed	killed
394	engine_ctrl	inv	killed_fast	killed	-	-	-	-
395	engine_ctrl	const0	killed_fast	killed	-	-	-	-
396	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
397	engine_ctrl	inv	killed_fast	killed	-	-	-	-
398	engine_ctrl	cnot1	survived	survived	survived	not_proven	survived	survived
399	engine_ctrl	const1	survived	survived	survived	not_proven	survived	survived
400	engine_ctrl	const1	killed_fast	killed	-	-	-	-
401	engine_ctrl	inv	killed_fast	killed	-	-	-	-
402	engine_ctrl	inv	killed_fast	killed	-	-	-	-
403	engine_ctrl	const1	killed_fast	killed	-	-	-	-
404	engine_ctrl	inv	killed_fast	killed	-	-	-	-
405	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
406	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
407	engine_ctrl	const0	killed_full	survived	killed	-	-	-
408	engine_ctrl	const0	killed_full	survived	killed	-	-	-
409	engine_ctrl	const0	killed_fast	killed	-	-	-	-
410	engine_ctrl	const0	killed_full	survived	killed	-	-	-
411	engine_ctrl	cnot0	killed_full	survived	killed	-	-	-
412	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
413	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
414	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
415	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
416	engine_ctrl	const1	killed_full	survived	killed	-	-	-
417	engine_ctrl	cnot0	survived	survived	survived	not_proven	killed	survived
418	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
419	engine_ctrl	cnot1	survived	survived	survived	not_proven	killed	survived
420	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
421	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
422	engine_ctrl	const1	killed_full	survived	killed	-	-	-
423	engine_ctrl	const0	survived	survived	survived	not_proven	survived	killed
424	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
425	engine_ctrl	inv	survived	survived	survived	not_proven	survived	survived
426	engine_ctrl	cnot1	killed_fast	killed	-	-	-	-
427	engine_ctrl	const0	survived	survived	survived	equivalent	survived	survived
428	engine_ctrl	inv	killed_fast	killed	-	-	-	-
429	engine_ctrl	const0	survived	survived	survived	not_proven	survived	survived
430	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
431	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
432	engine_ctrl	inv	killed_fast	killed	-	-	-	-
433	engine_ctrl	inv	killed_fast	killed	-	-	-	-
434	engine_ctrl	cnot1	killed_full	survived	killed	-	-	-
435	engine_ctrl	cnot0	killed_fast	killed	-	-	-	-
436	engine_ctrl	cnot0	survived	survived	survived	not_proven	survived	killed
